,code,name,industry,area,pe,outstanding,totals,totalAssets,liquidAssets,fixedAssets,reserved,reservedPerShare,esp,bvps,pb,timeToMarket
700,sh600546,*ST山煤,煤炭开采,山西,0.0,198245.59,198245.59,4931093.5,2569171.5,1018294.0,224503.45,1.13,0.025,1.89,1.69,20030731
701,sz300130,新国都,电脑设备,深圳,367.97,14916.41,23102.14,211004.77,115574.36,4366.58,61073.8,2.64,0.022,5.5,5.81,20101019
702,sh600370,三房巷,纺织,江苏,75.89,79724.42,79724.42,162742.17,122742.47,36498.21,53735.46,0.67,0.018,1.53,3.49,20030306
703,sz300328,宜安科技,铝,广东,392.5,40320.0,40320.0,89309.27,45476.57,37507.76,21747.65,0.54,0.011,1.69,10.1,20120619
704,sz300409,道氏技术,陶瓷,广东,306.64,8846.25,21500.0,145620.52,108899.7,20249.23,73706.88,3.43,0.044,5.09,10.51,20141203
705,sz002278,神开股份,化工机械,上海,0.0,25159.83,36390.96,169528.25,117900.17,29100.9,48002.55,1.32,0.041,3.18,4.07,20090811
706,sh600691,阳煤化工,农药化肥,四川,119.12,175639.09,175678.69,4062775.25,1285076.5,1844880.25,295143.22,1.68,0.007,2.62,1.24,19931119
707,sh601969,海南矿业,普钢,海南,0.0,85867.0,186667.0,562220.19,215314.66,90294.36,185412.19,0.99,0.031,2.28,5.27,20141209
708,sz000663,永安林业,林业,福建,0.0,17031.85,34101.98,398585.5,213035.41,44747.3,160945.36,4.72,0.05,5.84,2.25,19961206
709,sh600186,莲花健康,食品,河南,133.75,106202.42,106202.42,227203.84,77201.43,43976.37,31854.78,0.3,0.01,0.1,56.93,19980825
710,sz300389,艾比森,半导体,深圳,86.15,9251.03,31946.22,140362.77,96046.61,33190.12,23205.24,0.73,0.07,2.76,8.8,20140801
711,sh600252,中恒集团,中成药,广西,27.68,327524.25,347510.72,596028.81,286240.44,94135.05,8586.05,0.02,0.04,1.45,3.06,20001130
712,sz002251,步 步 高,超市连锁,湖南,20.88,64954.21,77898.54,1263708.63,471160.94,326144.22,298625.31,3.83,0.16,6.48,2.07,20080619
713,sh600596,新安股份,农药化肥,浙江,0.0,67918.46,67918.46,775064.38,288133.0,332102.78,74862.65,1.1,0.07,5.78,1.35,20010906
714,sh600337,美克家居,家居用品,新疆,50.56,64622.23,64622.23,489282.31,264423.03,116736.97,94573.86,1.46,0.066,4.79,2.8,20001127
715,sh600255,鑫科材料,铜,安徽,0.0,176959.34,176959.34,506045.66,277518.72,123384.15,115910.88,0.66,0.022,1.79,2.5,20001122
716,sh603686,龙马环卫,专用机械,福建,52.38,10000.0,27235.0,186891.94,169242.27,5193.37,27305.6,1.0,0.182,4.03,9.47,20150126
717,sz002580,圣阳股份,电气设备,山东,101.89,14839.09,22100.99,187017.48,133179.63,41751.6,66935.99,3.03,0.047,5.19,3.68,20110506
718,sh600297,广汇汽车,汽车服务,辽宁,16.8,183982.84,550040.06,7510905.5,4498231.5,768937.25,815492.0,1.48,0.134,3.97,2.27,20001116
